 idtp | idspec |    idspcion    |                                                       namespcion                                                       | idotdel | base | yearentrance | srok | month1 |                                                 tpnote                                                  
 1017 |     11 | 02             | Гражданско-правовая                                                                                                    |       1 |    0 |         2009 |    5 |        | 
  864 |     10 | 03             | Инновационный менеджмент                                                                                               |       1 |    0 |         2010 |    5 |        | 
  865 |     19 |                |                                                                                                                        |       1 |    0 |         2008 |    5 |        | 
  778 |     13 | 08             | Управление финансами на предприятии                                                                                    |       2 |    1 |         2005 |    4 |        | (филиал в г. Кинешме)
  779 |     13 | 08             | Управление финансами на предприятии                                                                                    |       2 |    6 |         2004 |  3.5 |        | (филиал в г. Кинешме)
  780 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2004 |  5.5 |        | (филиал в г. Кинешме)
  781 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2007 |  5.5 |        | (филиал в г. Кинешме)
  782 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    1 |         2004 |    4 |        | (филиал в г. Кинешме)
  783 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    1 |         2007 |    4 |        | (филиал в г. Кинешме)
  784 |      6 | 07             | Производственный менеджмент                                                                                            |       1 |    0 |         2004 |  5.5 |        | (филиал в г. Кинешме)
 1022 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2008 |    5 |        | (филиал в г.Вязьме)
  810 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    2 |         2009 |    5 |        | (филиал в городе Киров)
  720 |      6 |                | Корпоративные информационные системы                                                                                   |       1 |    0 |         2007 |    5 |        | (филиал в г.Рославле)
  724 |     24 |                |                                                                                                                        |       1 |    0 |         2004 |    5 |        | (филиал в г.Вязьме)
  722 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2007 |    5 |        | (филиал в г.Вязьме)
  725 |     13 | 08             | Управление финансами на предприятии                                                                                    |       1 |    0 |         2004 |    5 |        | (филиал в г.Рославле)
  726 |     11 |                | Гражданско-правовая                                                                                                    |       2 |    6 |         2005 |    4 |        | 
  727 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    1 |         2007 |    4 |        | 
  731 |     17 | 15             | Безопасность автомобиля                                                                                                |       2 |    2 |         2004 |  5.5 |        | (филиал в городе Киров)
  733 |     17 | 15             | Безопасность автомобиля                                                                                                |       2 |    1 |         2004 |    4 |        | (филиал в городе Киров)
  734 |     10 | 01             | Финансовый менеджмент                                                                                                  |       2 |    0 |         2006 |  5.5 |        | 
  741 |     32 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2003 |  5.5 |        | (филиал в г. Кинешме)
  758 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    1 |         2004 |    4 |        | (филиал в г. Вязьме)
  762 |     11 |                | Гражданско-правовая                                                                                                    |       2 |    2 |         2004 |    5 |      7 | (филиал в г. Сергиев Посад МО)
 1052 |     13 | 01             | Организация производства                                                                                               |       3 |    0 |         2009 |  5.5 |        | Второе высшее для направления 140500
  644 |     11 | 02             | Гражданско-правовая                                                                                                    |       2 |    6 |         2002 |    4 |        | (филиал в г. Сергиев Посад)
  647 |     78 | 08             | Управление финансами на предприятии                                                                                    |       2 |    2 |         2002 |  5.5 |        | (филиал в городе Киров)
  648 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    0 |         2000 |  5.5 |        | (филиал в городе Киров)
  594 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    1 |         2006 |    4 |        | 
 1012 |      4 | 09             | Проектирование и эксплуатация автоматизированного производства                                                         |       1 |    0 |         2010 |    5 |        | 
  529 |      6 |                | Корпоративные информационные системы                                                                                   |       1 |    0 |         2007 |  5.5 |        | 
 1035 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
  754 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    9 |         2005 |  3.5 |        | (филиал в г. Вязьме)
  908 |      5 |                |                                                                                                                        |       1 |    0 |         2010 |    5 |        | 
  796 |     17 | 15             | Безопасность автомобиля                                                                                                |       2 |    2 |         2006 |  5.5 |        | (филиал в городе Киров)
 1048 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    6 |         2007 |  3.5 |        | (филиал в г.Вязьме)
 1049 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    6 |         2007 |  3.5 |        | (филиал в г.Вязьме)
  314 |     52 | 05             | Финансовый менеджмент                                                                                                  |       2 |    2 |         2005 |  5.5 |        | 
  626 |     13 | 01             | Организация производства                                                                                               |       3 |    9 |         2006 |    6 |        | для специальности 140104
 1027 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    2 |         2007 |  5.5 |        | (филиал в г.Вязьме)
 1020 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       1 |    0 |         2008 |    5 |        | (филиал в г.Вязьме)
 1043 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
  666 |     81 | 38             | Механика многофазовых систем                                                                                           |       1 |    0 |         2004 |    5 |        | (филиал в городе Сергиев Посад МО)
 1031 |     13 | 01             | Организация производства                                                                                               |       3 |    0 |         2008 |  5.5 |        | Второе высшее для специальностей 140501, 150201, 150202, 150204, 150206, 150501, 151001, 151002, 190201
 1050 |     17 | 15             | Безопасность автомобиля                                                                                                |       2 |    1 |         2009 |    4 |        | (филиал в городе Киров)
  757 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    1 |         2005 |    4 |        | (филиал в г. Вязьме)
  759 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |   13 |         2005 |  3.5 |        | (филиал в г. Вязьме)
  761 |     11 |                | Гражданско-правовая                                                                                                    |       2 |    2 |         2005 |    5 |      7 | (филиал в г. Сергиев Посад МО)
  661 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    2 |         2008 |  5.5 |        | (филиал в городе Киров)
  593 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    2 |         2005 |  5.5 |        | 
  659 |     13 |                | Организация производства                                                                                               |       1 |    0 |         2004 |    5 |        | (филиал в городе Сергиев Посад МО)
  792 |     19 |                |                                                                                                                        |       1 |    0 |         2005 |  5.5 |        | (филиал в г. Кинешме)
(225 rows)

